accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-1/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,1,Audiobook,,2024-10-10
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-2/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,2,Audiobook,,2024-11-07
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-3/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,3,Audiobook,,2024-12-05
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-4/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,4,Audiobook,,2025-01-02
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-5/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,5,Audiobook,,2025-02-06
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-6/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,6,Audiobook,,2025-03-06
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-7/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,7,Audiobook,,2025-04-03
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/audio_books/accomplishments-of-the-dukes-daughter-audiobook-vol-8/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,8,Audiobook,,2025-05-01
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-1/,Seven Seas Entertainment,Adachi and Shimamura,1,Audiobook,,2025-05-15
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-2/,Seven Seas Entertainment,Adachi and Shimamura,2,Audiobook,,2025-07-03
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-3/,Seven Seas Entertainment,Adachi and Shimamura,3,Audiobook,,2025-08-07
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-4/,Seven Seas Entertainment,Adachi and Shimamura,4,Audiobook,,2025-09-04
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-5/,Seven Seas Entertainment,Adachi and Shimamura,5,Audiobook,,2025-10-02
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-6/,Seven Seas Entertainment,Adachi and Shimamura,6,Audiobook,,2025-11-06
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-7/,Seven Seas Entertainment,Adachi and Shimamura,7,Audiobook,,2025-12-04
adachiandshimamura,https://sevenseasentertainment.com/audio_books/adachi-and-shimamura-audiobook-vol-8/,Seven Seas Entertainment,Adachi and Shimamura,8,Audiobook,,2026-01-01
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402438-alya-sometimes-hides-her-feelings-in-russian-vol-1,Yen Press,Alya Sometimes Hides Her Feelings in Russian,1,Audio,9798855402438,2024-08-13
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402445-alya-sometimes-hides-her-feelings-in-russian-vol-2,Yen Press,Alya Sometimes Hides Her Feelings in Russian,2,Audio,9798855402445,2024-11-12
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402452-alya-sometimes-hides-her-feelings-in-russian-vol-3,Yen Press,Alya Sometimes Hides Her Feelings in Russian,3,Audio,9798855402452,2025-02-11
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402469-alya-sometimes-hides-her-feelings-in-russian-vol-4,Yen Press,Alya Sometimes Hides Her Feelings in Russian,4,Audio,9798855402469,2025-05-13
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402476-alya-sometimes-hides-her-feelings-in-russian-vol-4-5,Yen Press,Alya Sometimes Hides Her Feelings in Russian,4.5,Audio,9798855402476,2025-08-12
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402483-alya-sometimes-hides-her-feelings-in-russian-vol-5,Yen Press,Alya Sometimes Hides Her Feelings in Russian,5,Audio,9798855402483,2025-11-11
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855402490-alya-sometimes-hides-her-feelings-in-russian-vol-6,Yen Press,Alya Sometimes Hides Her Feelings in Russian,6,Audio,9798855402490,2026-02-03
alyasometimeshidesherfeelingsinrussian,https://yenpress.com/titles/9798855434071-alya-sometimes-hides-her-feelings-in-russian-vol-7,Yen Press,Alya Sometimes Hides Her Feelings in Russian,7,Audio,9798855434071,2026-05-05
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-1.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,1,Audiobook,,2022-03-22
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-2.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,2,Audiobook,,2022-05-17
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-3.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,3,Audiobook,,2022-07-12
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-4.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,4,Audiobook,,2023-04-25
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-5.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,5,Audiobook,,2023-12-26
apocalypsebringermynoghra,https://crossinfworld.com/Apocalypse-Bringer-Mynoghra-World-Conquest-Starts-with-the-Civilization-of-Ruin-Volume-6.html,Cross Infinite World,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,6,Audiobook,B0DHSP2L2Y,2024-10-22
arifuretafromcommonplacetoworldsstrongest,https://global.bookwalker.jp/deee6ee569-da88-4a8c-93dd-a730808757aa/,J-Novel Club,Arifureta: From Commonplace to World's Strongest,1,Audiobook,9781718358058,2023-11-15
arifuretafromcommonplacetoworldsstrongest,https://global.bookwalker.jp/de8a5adfd1-944f-411f-b328-feeb6256b541/,J-Novel Club,Arifureta: From Commonplace to World's Strongest,2,Audiobook,9781718358065,2024-12-01
ascendanceofabookworm,https://global.bookwalker.jp/de522c25b5-33f2-4779-bf62-d0e4abcc11ea/,J-Novel Club,Ascendance of a Bookworm: Part 1,1,Audiobook,9781718357976,2024-02-14
ascendanceofabookworm,https://global.bookwalker.jp/de4287676c-b9de-4ae2-b97f-51d27dc8dc76/,J-Novel Club,Ascendance of a Bookworm: Part 1,2,Audiobook,9781718357983,2024-06-15
ataleofthesecretsaint,https://sevenseasentertainment.com/audio_books/a-tale-of-the-secret-saint-audiobook-vol-1/,Seven Seas Entertainment,A Tale of the Secret Saint,1,Audiobook,,2025-07-17
ataleofthesecretsaint,https://sevenseasentertainment.com/audio_books/a-tale-of-the-secret-saint-audiobook-vol-2/,Seven Seas Entertainment,A Tale of the Secret Saint,2,Audiobook,,2025-11-13
attackontitantheharshmistressofthecity,https://kodansha.us/product/attack-on-titan-the-harsh-mistress-of-the-city-1,Kodansha,Attack on Titan: The Harsh Mistress of the City,1,Audiobook,,2016-06-01
attackontitantheharshmistressofthecity,https://kodansha.us/product/attack-on-titan-the-harsh-mistress-of-the-city-2,Kodansha,Attack on Titan: The Harsh Mistress of the City,2,Audiobook,,2016-06-01
baccano,https://yenpress.com/titles/9781975394127-baccano-vol-1,Yen Press,Baccano!,1,Audio,9781975394127,2024-05-14
baccano,https://yenpress.com/titles/9781975394134-baccano-vol-2,Yen Press,Baccano!,2,Audio,9781975394134,2024-08-13
baccano,https://yenpress.com/titles/9781975394141-baccano-vol-3,Yen Press,Baccano!,3,Audio,9781975394141,2024-11-12
baccano,https://yenpress.com/titles/9781975394158-baccano-vol-4,Yen Press,Baccano!,4,Audio,9781975394158,2025-02-11
baccano,https://yenpress.com/titles/9798855419337-baccano-vol-5,Yen Press,Baccano!,5,Audio,9798855419337,2025-05-13
baccano,https://yenpress.com/titles/9798855419344-baccano-vol-6,Yen Press,Baccano!,6,Audio,9798855419344,2025-08-12
baccano,https://yenpress.com/titles/9798855426052-baccano-vol-7,Yen Press,Baccano!,7,Audio,9798855426052,2025-11-11
baccano,https://yenpress.com/titles/9798855426069-baccano-vol-8,Yen Press,Baccano!,8,Audio,9798855426069,2026-02-10
baccano,https://yenpress.com/titles/9798855434200-baccano-vol-9,Yen Press,Baccano!,9,Audio,9798855434200,2026-05-05
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-1/,Seven Seas Entertainment,Berserk of Gluttony,1,Audiobook,,2024-08-22
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-2/,Seven Seas Entertainment,Berserk of Gluttony,2,Audiobook,,2024-09-26
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-3/,Seven Seas Entertainment,Berserk of Gluttony,3,Audiobook,,2024-10-31
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-4/,Seven Seas Entertainment,Berserk of Gluttony,4,Audiobook,,2024-11-21
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-5/,Seven Seas Entertainment,Berserk of Gluttony,5,Audiobook,,2024-12-19
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-6/,Seven Seas Entertainment,Berserk of Gluttony,6,Audiobook,,2025-01-23
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-7/,Seven Seas Entertainment,Berserk of Gluttony,7,Audiobook,,2025-02-20
berserkofgluttony,https://sevenseasentertainment.com/audio_books/berserk-of-gluttony-audiobook-vol-8/,Seven Seas Entertainment,Berserk of Gluttony,8,Audiobook,,2025-03-20
blacksummoner,https://global.bookwalker.jp/dec30f1490-7b3b-4c2e-b20a-b6fdb271e4e5/,J-Novel Club,Black Summoner,1,Audiobook,9798765079829,2025-12-16
blacksummoner,https://global.bookwalker.jp/de40e4d475-93cb-427f-9d6b-3cebbd287ac3/,J-Novel Club,Black Summoner,2,Audiobook,9798765079843,2025-12-16
blacksummoner,https://global.bookwalker.jp/de59222ad1-a6a7-4e33-bb08-9c860b3cd662/,J-Novel Club,Black Summoner,3,Audiobook,9798765079867,2025-12-16
blacksummoner,https://global.bookwalker.jp/de34ae3fa0-5dcc-4ea6-b4f0-1cdd222801bb/,J-Novel Club,Black Summoner,4,Audiobook,9798765079881,2025-12-16
blacksummoner,https://global.bookwalker.jp/de49e20922-63b7-48ac-be5d-c26bdcf32411/,J-Novel Club,Black Summoner,5,Audiobook,9798765079904,2025-12-16
blacksummoner,https://global.bookwalker.jp/de7f766473-1028-4897-868a-8e19a6bdcbd0/,J-Novel Club,Black Summoner,6,Audiobook,9798765079928,2025-12-16
blacksummoner,https://global.bookwalker.jp/de97ee76ea-3920-4fba-bef0-7c4f13687c19/,J-Novel Club,Black Summoner,7,Audiobook,9798765079942,2025-12-16
blacksummoner,https://global.bookwalker.jp/de8ffb4cac-5dab-4ca0-9b86-1bc2f4138022/,J-Novel Club,Black Summoner,8,Audiobook,9798765079966,2025-12-16
boneash,https://yenpress.com/titles/9798855413106-bone-ash,Yen Press,Bone Ash,1,Audio,9798855413106,2026-01-13
bungostraydogs,https://yenpress.com/titles/9781975393892-bungo-stray-dogs-vol-1,Yen Press,Bungo Stray Dogs,1,Audio,9781975393892,2024-06-11
bungostraydogs,https://yenpress.com/titles/9781975397760-bungo-stray-dogs-vol-2,Yen Press,Bungo Stray Dogs,2,Audio,9781975397760,2024-09-10
bungostraydogs,https://yenpress.com/titles/9781975397777-bungo-stray-dogs-vol-3,Yen Press,Bungo Stray Dogs,3,Audio,9781975397777,2024-12-10
bungostraydogs,https://yenpress.com/titles/9781975397784-bungo-stray-dogs-vol-4,Yen Press,Bungo Stray Dogs,4,Audio,9781975397784,2025-03-25
bythegraceofthegods,https://global.bookwalker.jp/decc4c2a87-db46-46d6-af6d-1e4f039ce360/,J-Novel Club,By the Grace of the Gods,1,Audiobook,9798765079980,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de6e9c3c02-85e4-4a08-862b-2828c2467ced/,J-Novel Club,By the Grace of the Gods,2,Audiobook,9798765080009,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de619bf8dc-0a6c-41e5-9a4a-2ce601350051/,J-Novel Club,By the Grace of the Gods,3,Audiobook,9798765080023,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de7bd1b539-9351-4dd6-9d71-91e52678bc4a/,J-Novel Club,By the Grace of the Gods,4,Audiobook,9798765080047,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de5de59860-9c0d-4d93-a604-2e4c24bf5101/,J-Novel Club,By the Grace of the Gods,5,Audiobook,9798765080061,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/deab54061e-42b0-492d-b0e3-cc97f9c07724/,J-Novel Club,By the Grace of the Gods,6,Audiobook,9798765080085,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de2497eeb6-98cd-4c37-986d-ef4716fddb2e/,J-Novel Club,By the Grace of the Gods,7,Audiobook,9798765080108,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de4896acf1-6299-4ad0-bff6-52a36d4190c3/,J-Novel Club,By the Grace of the Gods,8,Audiobook,9798765080122,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/deee288e22-fa6f-45ce-8317-8f102e8aa526/,J-Novel Club,By the Grace of the Gods,9,Audiobook,9798765080146,2025-12-16
bythegraceofthegods,https://global.bookwalker.jp/de0a58fd9e-0e70-473f-8f89-a240fa1dfade/,J-Novel Club,By the Grace of the Gods,10,Audiobook,9798765080160,2025-12-16
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-1/,Seven Seas Entertainment,Classroom of the Elite,1,Audiobook,,2023-06-20
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-2/,Seven Seas Entertainment,Classroom of the Elite,2,Audiobook,,2023-07-27
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-3/,Seven Seas Entertainment,Classroom of the Elite,3,Audiobook,,2023-09-14
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-4/,Seven Seas Entertainment,Classroom of the Elite,4,Audiobook,,2023-10-19
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-4pt5/,Seven Seas Entertainment,Classroom of the Elite,4.5,Audiobook,,2023-11-23
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-5/,Seven Seas Entertainment,Classroom of the Elite,5,Audiobook,,2024-01-04
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-6/,Seven Seas Entertainment,Classroom of the Elite,6,Audiobook,,2024-01-04
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-7/,Seven Seas Entertainment,Classroom of the Elite,7,Audiobook,,2024-02-01
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-7pt5/,Seven Seas Entertainment,Classroom of the Elite,7.5,Audiobook,,2024-02-08
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-8/,Seven Seas Entertainment,Classroom of the Elite,8,Audiobook,,2024-03-07
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-9/,Seven Seas Entertainment,Classroom of the Elite,9,Audiobook,,2024-03-07
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-10/,Seven Seas Entertainment,Classroom of the Elite,10,Audiobook,,2024-04-04
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-11/,Seven Seas Entertainment,Classroom of the Elite,11,Audiobook,,2024-05-02
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-audiobook-vol-11pt5/,Seven Seas Entertainment,Classroom of the Elite,11.5,Audiobook,,2024-05-02
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-1/,Seven Seas Entertainment,Classroom of the Elite: Year 2,1,Audiobook,,2024-07-11
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-2/,Seven Seas Entertainment,Classroom of the Elite: Year 2,2,Audiobook,,2024-08-08
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-3/,Seven Seas Entertainment,Classroom of the Elite: Year 2,3,Audiobook,,2024-10-10
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-4/,Seven Seas Entertainment,Classroom of the Elite: Year 2,4,Audiobook,,2024-11-14
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-4pt5/,Seven Seas Entertainment,Classroom of the Elite: Year 2,4.5,Audiobook,,2024-11-14
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-5/,Seven Seas Entertainment,Classroom of the Elite: Year 2,5,Audiobook,,2024-12-12
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-6/,Seven Seas Entertainment,Classroom of the Elite: Year 2,6,Audiobook,,2025-01-09
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-7/,Seven Seas Entertainment,Classroom of the Elite: Year 2,7,Audiobook,,2025-02-13
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-8/,Seven Seas Entertainment,Classroom of the Elite: Year 2,8,Audiobook,,2025-03-13
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-9/,Seven Seas Entertainment,Classroom of the Elite: Year 2,9,Audiobook,,2025-04-10
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-9-pt-5/,Seven Seas Entertainment,Classroom of the Elite: Year 2,9.5,Audiobook,,2025-05-08
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-10/,Seven Seas Entertainment,Classroom of the Elite: Year 2,10,Audiobook,,2025-06-12
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-11/,Seven Seas Entertainment,Classroom of the Elite: Year 2,11,Audiobook,,2025-09-11
classroomoftheelite,https://sevenseasentertainment.com/audio_books/classroom-of-the-elite-year-2-audiobook-vol-12/,Seven Seas Entertainment,Classroom of the Elite: Year 2,12,Audiobook,,2026-01-08
dayswithmystepsister,https://yenpress.com/titles/9798855430011-days-with-my-stepsister-vol-1,Yen Press,Days with My Stepsister,1,Audio,9798855430011,2025-12-09
dayswithmystepsister,https://yenpress.com/titles/9798855430028-days-with-my-stepsister-vol-2,Yen Press,Days with My Stepsister,2,Audio,9798855430028,2026-03-17
dayswithmystepsister,https://yenpress.com/titles/9798855430035-days-with-my-stepsister-vol-3,Yen Press,Days with My Stepsister,3,Audio,9798855430035,2026-06-09
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,https://sevenseasentertainment.com/audio_books/disciple-of-the-lich-or-how-i-was-cursed-by-the-gods-and-dropped-into-the-abyss-audiobook-vol-1/,Seven Seas Entertainment,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,1,Audiobook,,2025-07-24
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,https://sevenseasentertainment.com/audio_books/disciple-of-the-lich-or-how-i-was-cursed-by-the-gods-and-dropped-into-the-abyss-audiobook-vol-2/,Seven Seas Entertainment,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,2,Audiobook,,2025-09-18
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,https://sevenseasentertainment.com/audio_books/disciple-of-the-lich-or-how-i-was-cursed-by-the-gods-and-dropped-into-the-abyss-audiobook-vol-3/,Seven Seas Entertainment,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,3,Audiobook,,2025-10-23
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,https://sevenseasentertainment.com/audio_books/disciple-of-the-lich-or-how-i-was-cursed-by-the-gods-and-dropped-into-the-abyss-audiobook-vol-4/,Seven Seas Entertainment,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,4,Audiobook,,2025-11-27
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,https://sevenseasentertainment.com/audio_books/disciple-of-the-lich-or-how-i-was-cursed-by-the-gods-and-dropped-into-the-abyss-audiobook-vol-5/,Seven Seas Entertainment,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,5,Audiobook,,2025-12-25
enoughwiththisslowlifeiwasreincarnatedasahighelfandnowimbored,https://global.bookwalker.jp/de28c6eac3-0516-4df4-bb9e-98f2b888656b/,J-Novel Club,Enough with This Slow Life! I Was Reincarnated as a High Elf and Now I'm Bored,1,Audiobook,9798855592504,2025-12-16
enoughwiththisslowlifeiwasreincarnatedasahighelfandnowimbored,https://global.bookwalker.jp/de5a430888-532f-41ad-aa3b-df9798ed2089/,J-Novel Club,Enough with This Slow Life! I Was Reincarnated as a High Elf and Now I'm Bored,2,Audiobook,9798855592528,2025-12-16
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,https://crossinfworld.com/Even-Dogs-Go-to-Other-Worlds.html,Cross Infinite World,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound,1,Audiobook,,2022-11-15
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,https://crossinfworld.com/Even-Dogs-Go-to-Other-Worlds-Volume-2.html,Cross Infinite World,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound,2,Audiobook,,2023-01-17
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,https://crossinfworld.com/Even-Dogs-Go-to-Other-Worlds-Volume-3.html,Cross Infinite World,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound,3,Audiobook,,2023-05-30
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,https://crossinfworld.com/Even-Dogs-Go-to-Other-Worlds-Volume-4.html,Cross Infinite World,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound,4,Audiobook,B0DD4XK194,2024-09-17
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,https://crossinfworld.com/Even-Dogs-Go-to-Other-Worlds-Volume-5.html,Cross Infinite World,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound,5,Audiobook,B0FQPPW151,2025-10-14
evenifthesetearsdisappeartonight,https://yenpress.com/titles/9781975368999-even-if-these-tears-disappear-tonight,Yen Press,Even If These Tears Disappear Tonight,1,Audio,9781975368999,2023-08-22
evenifthislovedisappearstonight,https://yenpress.com/titles/9781975348359-even-if-this-love-disappears-tonight,Yen Press,Even If This Love Disappears Tonight,1,Audio,9781975348359,2023-03-14
failureframeibecamethestrongestandannihilatedeverythingwithlowlevelspells,https://sevenseasentertainment.com/audio_books/failure-frame-i-became-the-strongest-and-annihilated-everything-with-low-level-spells-audiobook-vol-1/,Seven Seas Entertainment,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,1,Audiobook,,2025-08-21
failureframeibecamethestrongestandannihilatedeverythingwithlowlevelspells,https://sevenseasentertainment.com/audio_books/failure-frame-i-became-the-strongest-and-annihilated-everything-with-low-level-spells-audiobook-vol-2/,Seven Seas Entertainment,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,2,Audiobook,,2025-10-23
frieren,https://yenpress.com/titles/9798855433623-frieren-beyond-journey-s-end-prelude-vol-1,Yen Press,Frieren: Beyond Journey's End -Prelude-,1,Audio,9798855433623,2026-05-26
goblinslayer,https://yenpress.com/titles/9781975388218-goblin-slayer-vol-1,Yen Press,Goblin Slayer,1,Audio,9781975388218,2023-11-28
